City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sampit,ID,2021-01-28 21:15:30,-2.5333,112.95,72.95,96,100,1.86
68,Evensk,RU,2021-01-28 21:15:30,61.95,159.2333,-5.48,86,100,12.5
69,Tombouctou,ML,2021-01-28 21:15:31,20.0,-3.0,72.34,19,0,11.16
70,Nagato,JP,2021-01-28 21:15:31,34.3833,131.2,35.6,59,20,18.41
71,Ilulissat,GL,2021-01-28 21:15:31,69.2167,-51.1,8.6,52,1,12.66
72,Chuy,UY,2021-01-28 21:15:31,-33.6971,-53.4616,75.67,58,88,11.52
73,Shimoda,JP,2021-01-28 21:15:31,34.6667,138.95,37.0,69,17,1.01
74,Nogales,MX,2021-01-28 21:15:32,31.3086,-110.9422,70.0,18,1,9.22
75,Palmer,US,2021-01-28 21:15:32,42.1584,-72.3287,28.0,54,20,16.11
76,Sao Joao Da Barra,BR,2021-01-28 21:11:34,-21.6403,-41.0511,84.2,61,0,18.41
77,Tongren,CN,2021-01-28 21:15:32,27.7172,109.1853,41.56,68,71,2.59
78,Chumikan,RU,2021-01-28 21:15:32,54.7183,135.315,-11.38,86,100,10.83
79,Dikson,RU,2021-01-28 21:15:32,73.5069,80.5464,-32.22,79,65,4.54
80,Codrington,AU,2021-01-28 21:15:32,-38.2667,141.9667,65.57,95,100,3.42
81,Punta Arenas,CL,2021-01-28 21:15:13,-53.15,-70.9167,46.4,61,75,25.32
82,Hobyo,SO,2021-01-28 21:15:33,5.3505,48.5268,76.82,71,64,19.71
83,Inuvik,CA,2021-01-28 21:15:33,68.3499,-133.7218,-20.2,76,25,5.75
84,Gat,IL,2021-01-28 21:14:01,31.61,34.7642,52.0,90,0,1.01
85,Vostok,RU,2021-01-28 21:15:33,46.4856,135.8833,-6.7,92,100,4.09
86,Khatanga,RU,2021-01-28 21:15:34,71.9667,102.5,-41.21,75,0,2.98
87,Tasiilaq,GL,2021-01-28 21:15:34,65.6145,-37.6368,26.6,86,90,19.57
88,Santiago Del Estero,AR,2021-01-28 21:12:44,-27.7951,-64.2615,96.19,30,31,9.53
89,Inhambane,MZ,2021-01-28 21:15:34,-23.865,35.3833,79.5,87,3,6.46
90,Saint George,US,2021-01-28 21:11:30,37.1041,-113.5841,55.4,33,1,16.11
91,Siocon,PH,2021-01-28 21:15:34,7.7061,122.1353,78.08,81,64,11.9
92,Nabire,ID,2021-01-28 21:15:34,-3.3667,135.4833,74.88,91,100,2.21
93,Bealanana,MG,2021-01-28 21:15:34,-14.55,48.7333,66.42,89,100,0.07
94,Butaritari,KI,2021-01-28 21:15:35,3.0707,172.7902,80.78,79,89,18.05
95,Castro,BR,2021-01-28 21:13:37,-24.7911,-50.0119,68.5,94,100,5.64
96,Bathsheba,BB,2021-01-28 21:15:35,13.2167,-59.5167,80.6,65,40,14.97
97,Kutum,SD,2021-01-28 21:15:35,14.2,24.6667,60.85,24,68,12.39
98,Sao Miguel,BR,2021-01-28 21:15:35,-5.4667,-35.3667,82.4,74,20,14.97
99,Szydlowiec,PL,2021-01-28 21:15:35,51.2282,20.8611,33.01,85,100,8.19
100,Sabancuy,MX,2021-01-28 21:15:36,18.9667,-91.1833,79.95,67,88,9.64
101,Olafsvik,IS,2021-01-28 21:15:36,64.8945,-23.7142,29.08,87,49,3.62
102,Saldanha,ZA,2021-01-28 21:15:36,-33.0117,17.9442,60.8,72,0,4.61
103,Yarmouth,US,2021-01-28 21:15:36,41.7057,-70.2286,34.0,93,90,16.11
104,Eirunepe,BR,2021-01-28 21:13:04,-6.6603,-69.8736,80.11,91,100,0.51
105,Cayenne,GF,2021-01-28 21:15:36,4.9333,-52.3333,82.4,69,90,5.75
106,Thompson,CA,2021-01-28 21:10:54,55.7435,-97.8558,-4.0,84,75,4.61
107,Reconquista,AR,2021-01-28 21:15:37,-29.15,-59.65,90.61,40,8,8.32
108,Port Elizabeth,ZA,2021-01-28 21:12:02,-33.918,25.5701,60.8,88,40,4.61
109,Adelaide,AU,2021-01-28 21:14:26,-34.9333,138.6,69.01,68,0,3.44
110,Hofn,IS,2021-01-28 21:15:37,64.2539,-15.2082,30.2,69,75,4.61
111,Saint-Philippe,RE,2021-01-28 21:15:37,-21.3585,55.7679,78.8,69,0,6.91
112,Leningradskiy,RU,2021-01-28 21:15:37,69.3833,178.4167,-21.03,85,64,3.18
113,Kruisfontein,ZA,2021-01-28 21:15:37,-34.0033,24.7314,62.01,81,0,1.01
114,Seminole,US,2021-01-28 21:15:38,28.7086,-81.2081,64.0,39,1,6.91
115,Coihaique,CL,2021-01-28 21:15:38,-45.5752,-72.0662,57.2,51,75,9.22
116,Ponta Do Sol,PT,2021-01-28 21:15:38,32.6667,-17.1,60.01,76,48,1.01
117,East London,ZA,2021-01-28 21:15:38,-33.0153,27.9116,69.06,76,41,11.23
118,Isangel,VU,2021-01-28 21:15:38,-19.55,169.2667,78.8,89,75,15.08
119,San Rafael,AR,2021-01-28 21:15:38,-34.6177,-68.3301,81.52,19,51,6.31
120,Longyearbyen,SJ,2021-01-28 21:15:38,78.2186,15.6401,-4.0,54,20,28.77
121,Nantucket,US,2021-01-28 21:15:39,41.2835,-70.0995,36.0,93,90,19.57
122,Shirgaon,IN,2021-01-28 21:15:39,19.7,72.7,69.1,39,1,12.75
123,Belyy Yar,RU,2021-01-28 21:15:39,53.6039,91.3903,24.8,68,0,8.95
124,Saskylakh,RU,2021-01-28 21:15:39,71.9167,114.0833,-42.16,79,41,4.09
125,Muros,ES,2021-01-28 21:15:39,42.7762,-9.0603,57.99,94,100,5.01
126,Egvekinot,RU,2021-01-28 21:15:40,66.3167,-179.1667,-17.93,85,95,21.45
127,Polunochnoye,RU,2021-01-28 21:15:40,60.8697,60.4153,16.63,95,12,4.94
128,Pisco,PE,2021-01-28 21:11:40,-13.7,-76.2167,82.4,47,0,9.22
129,Hamilton,US,2021-01-28 21:12:16,39.1834,-84.5333,30.99,55,90,10.36
130,Adre,TD,2021-01-28 21:15:40,13.4667,22.2,70.52,18,11,19.62
131,Nuuk,GL,2021-01-28 21:15:40,64.1835,-51.7216,32.0,55,20,17.27
132,Labuhan,ID,2021-01-28 21:15:40,-6.8844,112.2051,77.49,88,100,15.3
133,Hovd,MN,2021-01-28 21:15:41,48.0056,91.6419,3.96,83,0,0.74
134,Lasa,IT,2021-01-28 21:15:41,46.6166,10.7002,32.0,93,90,2.3
135,Gigmoto,PH,2021-01-28 21:15:41,13.7796,124.39,75.67,84,100,17.9
136,Paamiut,GL,2021-01-28 21:15:41,61.994,-49.6678,33.85,82,66,6.02
137,Yoichi,JP,2021-01-28 21:15:41,43.2039,140.7703,31.89,91,100,10.71
138,Hay River,CA,2021-01-28 21:15:41,60.8156,-115.7999,-11.2,70,98,6.91
139,Taoudenni,ML,2021-01-28 21:15:41,22.6783,-3.9836,70.79,23,0,17.29
140,Puerto Ayacucho,VE,2021-01-28 21:15:41,5.6639,-67.6236,90.75,46,94,8.79
141,Kahului,US,2021-01-28 21:15:42,20.8947,-156.47,80.6,54,20,23.02
142,Zyryanka,RU,2021-01-28 21:15:42,65.75,150.85,-22.83,86,100,11.43
143,Youkounkoun,GN,2021-01-28 21:15:42,12.5333,-13.1333,82.31,13,99,4.5
144,Pevek,RU,2021-01-28 21:15:42,69.7008,170.3133,-20.63,87,13,2.53
