City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Beitbridge,ZW,77.77,overcast clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
250,Koungou,YT,80.6,moderate rain,-12.7336,45.2042,Villa Netibor
253,Lokoja,NG,81.86,scattered clouds,7.8024,6.742999999999999,Hotel Charvid
258,Samarai,PG,82.29,broken clouds,-10.6167,150.6667,Nuli Sapi
269,Sao Filipe,CV,75.45,broken clouds,14.8961,-24.4956,Tortuga B&B
271,Cali,CO,87.8,scattered clouds,3.4372,-76.5225,Hotel Obelisco Cali
272,Puerto Narino,CO,77.0,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
282,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
283,Kavieng,PG,82.67,light rain,-2.5744,150.7967,Nusa Island Retreat
291,Coruripe,BR,78.48,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
302,Cabanbanan,PH,75.99,broken clouds,14.2404,121.4341,Pagsanjan Falls Lodge and Summer Resort
304,Panalingaan,PH,76.03,scattered clouds,8.7842,117.4231,I Love Panalingaan View Deck
307,Tautira,PF,86.0,moderate rain,-17.7333,-149.15,Pension Oaoa
309,Quatre Cocos,MU,80.6,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
314,Diamantino,BR,79.03,overcast clouds,-14.4086,-56.4461,Hotel Delta
319,Pisco,PE,80.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
324,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
325,Vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
337,Tecoanapa,MX,83.86,overcast clouds,16.5167,-98.75,Hotel Manglares
339,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
341,Ixtapa,MX,77.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
346,Teacapan,MX,76.91,clear sky,22.55,-105.75,Hotel los Mangos
347,Humaita,BR,78.85,moderate rain,-7.5061,-63.0208,Corrêa Hotel
351,Kerema,PG,80.22,overcast clouds,-7.9631,145.7785,Frena Lodge
363,Poli,TZ,75.2,light rain,-3.3333,36.8,Urafiki House
366,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
367,Paita,PE,77.7,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
370,Miranda,CO,87.8,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
373,Hobyo,SO,75.58,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
374,Lorengau,PG,83.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Sulangan,PH,79.47,overcast clouds,11.1373,123.7228,Maia's Beach Resort
389,Nabire,ID,75.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
