City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kruisfontein,ZA,-34.0033,24.7314,61.0,84,2,1.01,clear sky
79,El Espino De Santa Rosa,PA,8.1,-80.8167,83.35,56,99,15.35,overcast clouds
80,Lenger,KZ,42.183,69.8839,30.2,69,0,8.95,clear sky
81,Kodiak,US,57.79,-152.4072,35.6,64,75,11.5,broken clouds
82,Mayumba,GA,-3.432,10.6554,79.03,87,100,5.14,light rain
83,Butaritari,KI,3.0707,172.7902,80.71,74,94,17.16,overcast clouds
84,Huntingdon,GB,52.3305,-0.1865,46.99,92,98,1.01,overcast clouds
85,Busselton,AU,-33.65,115.3333,62.01,84,0,1.99,clear sky
86,Constitucion,CL,-35.3333,-72.4167,62.35,89,100,5.7,light rain
87,Maragogi,BR,-9.0122,-35.2225,78.4,83,97,10.02,light rain
88,Jacqueville,CI,5.2052,-4.4146,80.6,89,0,3.44,clear sky
89,San Juan,AR,-31.5375,-68.5364,90.86,20,87,11.3,overcast clouds
90,Yellowknife,CA,62.456,-114.3525,-14.01,76,1,9.22,clear sky
91,Iqaluit,CA,63.7506,-68.5145,-13.0,70,90,9.22,snow
92,Saldanha,ZA,-33.0117,17.9442,64.74,89,0,11.63,clear sky
93,Faanui,PF,-16.4833,-151.75,80.69,69,63,5.79,light rain
94,San Andres,CO,12.5847,-81.7006,84.2,65,40,11.5,scattered clouds
95,Geraldton,AU,-28.7667,114.6,80.6,26,0,24.16,clear sky
96,Castro,BR,-24.7911,-50.0119,65.95,97,98,3.76,overcast clouds
97,Tamandare,BR,-8.7597,-35.1047,78.8,82,100,9.6,overcast clouds
98,Barrow,US,71.2906,-156.7887,-11.2,77,90,9.22,overcast clouds
99,Zhangjiakou,CN,40.81,114.8794,21.06,81,0,6.31,clear sky
100,Bethel,US,41.3712,-73.414,18.0,56,0,1.01,clear sky
101,Hellvik,NO,59.9156,5.781,32.0,78,88,4.03,overcast clouds
102,Lasa,IT,46.6166,10.7002,36.0,86,75,3.44,light rain
103,Gijon,ES,43.5357,-5.6615,59.0,87,96,4.16,overcast clouds
104,Florence,IT,43.7667,11.25,50.0,100,75,3.44,broken clouds
105,Lazaro Cardenas,MX,17.9583,-102.2,83.52,58,99,8.81,overcast clouds
106,Ribeira Grande,PT,38.5167,-28.7,60.8,77,20,10.36,few clouds
107,Maniitsoq,GL,65.4167,-52.9,22.15,74,0,4.16,clear sky
108,Upernavik,GL,72.7868,-56.1549,-7.37,82,83,11.83,broken clouds
109,Goderich,CA,43.7501,-81.7165,24.8,68,100,16.11,overcast clouds
110,Tarko-Sale,RU,64.9225,77.785,-37.79,82,9,8.84,clear sky
111,Palauig,PH,15.435,119.9045,73.56,66,82,8.01,broken clouds
112,Meadow Lake,US,34.8014,-106.5436,55.99,36,75,6.91,broken clouds
113,Talnakh,RU,69.4865,88.3972,-31.97,66,1,2.01,clear sky
114,Sheboygan,US,43.7333,-87.9334,28.99,69,1,5.75,clear sky
115,Doha,QA,25.2867,51.5333,68.0,72,0,1.14,clear sky
116,Yinchuan,CN,38.4681,106.2731,25.65,75,78,4.5,broken clouds
117,Tiksi,RU,71.6872,128.8694,-31.49,84,100,4.23,overcast clouds
118,Sitka,US,57.0531,-135.33,37.4,52,90,13.8,overcast clouds
119,Masunga,BW,-20.6246,27.4488,67.1,90,93,4.32,overcast clouds
120,Ostrovnoy,RU,68.0531,39.5131,8.06,94,100,18.72,overcast clouds
121,Seoul,KR,37.5683,126.9778,24.8,50,75,9.22,light snow
122,Lagoa,PT,39.05,-27.9833,59.16,77,5,11.86,clear sky
123,Odweyne,SO,9.4092,45.064,64.83,61,0,1.74,clear sky
124,Hasaki,JP,35.7333,140.8333,33.8,44,20,13.8,few clouds
125,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,6.91,clear sky
126,Jacareacanga,BR,-6.2222,-57.7528,81.82,72,80,2.59,broken clouds
127,Inhambane,MZ,-23.865,35.3833,78.84,83,23,3.11,few clouds
128,Palmer,US,42.1584,-72.3287,16.0,45,20,25.32,few clouds
129,Ohara,JP,35.25,140.3833,35.6,44,20,13.8,few clouds
130,San Patricio,US,28.017,-97.5169,73.4,49,75,14.97,broken clouds
131,Ewa Beach,US,21.3156,-158.0072,78.8,57,1,8.05,clear sky
132,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,40,5.75,scattered clouds
133,Itacare,BR,-14.2775,-38.9967,76.6,83,56,6.6,broken clouds
134,Solnechnyy,RU,50.7214,136.6319,-7.11,88,100,5.39,light snow
135,Kidal,ML,18.4411,1.4078,67.1,23,0,11.48,clear sky
136,Muroto,JP,33.2833,134.15,28.4,74,20,2.3,few clouds
137,Mitchell,US,43.7094,-98.0298,28.4,86,90,14.97,mist
138,Iranshahr,IR,27.2025,60.6848,53.6,12,0,0.13,clear sky
139,Norman Wells,CA,65.282,-126.8329,-31.0,75,20,3.44,few clouds
140,Tenenkou,ML,14.4572,-4.9169,74.17,18,0,10.38,clear sky
141,Muli,MV,2.9167,73.5667,80.8,80,54,17.36,broken clouds
142,Qaanaaq,GL,77.484,-69.3632,-14.28,61,0,5.48,clear sky
143,Minot,US,48.2325,-101.2963,24.8,74,90,12.66,overcast clouds
144,San Cristobal,VE,7.7669,-72.225,84.2,58,40,12.66,scattered clouds
145,Gogrial,SS,8.5332,28.1004,76.73,16,1,8.5,clear sky
146,Chicama,PE,-7.8447,-79.1469,73.4,78,20,12.66,few clouds
147,San Carlos De Bariloche,AR,-41.1456,-71.3082,75.0,24,0,23.02,clear sky
148,Velikiy Ustyug,RU,60.7644,46.3106,18.82,97,100,7.34,light snow
149,Kamyshin,RU,50.0983,45.416,26.06,96,19,10.22,few clouds
150,Bitung,ID,1.4451,125.1824,73.4,94,20,2.3,few clouds
151,Minsk,BY,53.9,27.5667,24.8,93,90,13.42,overcast clouds
152,Bacolod,PH,10.6667,122.95,76.48,85,100,17.74,overcast clouds
153,Padang,ID,-0.9492,100.3543,73.4,100,75,3.44,light rain
154,Nikolskoye,RU,59.7035,30.7861,33.01,93,90,6.71,light snow
155,Khatanga,RU,71.9667,102.5,-44.0,74,0,2.64,clear sky
156,Hofn,IS,64.2539,-15.2082,21.2,86,0,4.61,clear sky
157,Mattawa,US,46.7379,-119.9028,44.01,75,75,3.44,broken clouds
158,Pandamatenga,BW,-18.5278,25.627,66.76,96,100,5.08,overcast clouds
159,Touros,BR,-5.1989,-35.4608,80.6,74,20,12.66,few clouds
160,Berezovyy,RU,51.6667,135.7,-6.29,88,100,1.86,light snow
161,Dingle,PH,10.9995,122.6711,73.89,90,100,11.97,overcast clouds
162,Ngama,TD,11.7833,17.1667,75.85,17,0,15.03,clear sky
163,Byron Bay,AU,-28.65,153.6167,73.4,88,75,5.75,broken clouds
164,Ballina,AU,-28.8667,153.5667,73.4,88,75,5.75,broken clouds
165,Thompson,CA,55.7435,-97.8558,8.6,72,90,5.75,overcast clouds
166,Coquimbo,CL,-29.9533,-71.3436,64.4,72,20,12.66,few clouds
167,Andenes,NO,69.3143,16.1194,23.0,74,90,13.8,overcast clouds
168,Kindu,CD,-2.95,25.95,71.11,91,99,1.36,overcast clouds
169,Ugoofaaru,MV,5.6667,73.0,80.47,69,0,10.36,clear sky
170,Sarkand,KZ,45.41,79.9186,23.59,68,0,3.96,clear sky
171,Bambanglipuro,ID,-7.95,110.2833,75.06,91,100,4.79,moderate rain
172,Graaff-Reinet,ZA,-32.2522,24.5308,64.0,74,17,5.01,few clouds
173,Coahuayana,MX,18.7333,-103.6833,87.8,40,40,5.82,scattered clouds
174,Ambovombe,MG,-25.1667,46.0833,77.04,86,4,6.8,clear sky
175,Vardo,NO,70.3705,31.1107,23.0,93,75,14.97,light snow
176,Luena,AO,-11.7833,19.9167,63.12,93,95,2.68,overcast clouds
177,Christchurch,NZ,-43.5333,172.6333,59.0,62,90,10.36,overcast clouds
178,Puerto Baquerizo Moreno,EC,-0.9,-89.6,82.4,78,75,13.8,light rain
179,Xuzhou,CN,34.1805,117.1571,37.2,77,20,4.88,few clouds
180,Rolla,US,37.9514,-91.7713,45.0,53,1,12.66,clear sky
181,Sfantu Gheorghe,RO,45.8667,25.7833,36.0,91,100,2.55,overcast clouds
182,Bubaque,GW,11.2833,-15.8333,78.75,73,0,12.66,clear sky
183,Verkhoyansk,RU,67.5447,133.385,-43.76,74,100,0.51,overcast clouds
184,San Quintin,MX,30.4833,-115.95,59.95,63,49,14.97,scattered clouds
185,Lebu,CL,-37.6167,-73.65,58.44,92,94,3.42,overcast clouds
186,Bandarbeyla,SO,9.4942,50.8122,73.02,75,29,9.91,scattered clouds
187,Khvorostyanka,RU,52.6096,48.9597,21.65,98,82,8.21,broken clouds
188,Waipawa,NZ,-41.4122,175.5153,60.8,59,90,24.16,overcast clouds
189,Cairns,AU,-16.9167,145.7667,79.0,89,75,9.22,broken clouds
190,Nagapattinam,IN,10.7667,79.8333,75.78,83,72,10.8,broken clouds
191,Najran,SA,17.4924,44.1277,66.2,20,0,4.27,clear sky
192,Kathmandu,NP,27.7167,85.3167,42.8,87,20,2.3,few clouds
193,Boca Do Acre,BR,-8.7522,-67.3978,78.35,94,100,3.13,moderate rain
194,Narsaq,GL,60.9167,-46.05,44.6,29,75,26.46,broken clouds
195,Ahipara,NZ,-35.1667,173.1667,68.99,59,2,6.71,clear sky
196,Mapastepec,MX,15.4333,-92.9,88.39,36,31,6.46,scattered clouds
197,Newport,GB,51.5877,-2.9984,46.0,93,100,3.71,overcast clouds
198,Usoke,TZ,-5.1667,32.35,65.59,93,99,2.89,overcast clouds
199,Dunda,TZ,-8.1167,34.25,66.22,91,96,1.3,overcast clouds
200,Torbat-E Jam,IR,35.244,60.6225,45.91,46,24,5.48,few clouds
201,Iracoubo,GF,5.4802,-53.2011,77.05,88,100,12.37,overcast clouds
202,Zhigansk,RU,66.7697,123.3711,-45.35,77,82,9.37,broken clouds
203,Severo-Kurilsk,RU,50.6789,156.125,21.4,91,98,14.29,overcast clouds
204,Chuy,UY,-33.6971,-53.4616,74.93,74,2,6.11,clear sky
205,Alofi,NU,-19.0595,-169.9187,77.0,94,90,14.97,moderate rain
206,Katangli,RU,51.7102,143.2326,-0.09,93,100,11.14,overcast clouds
207,Mandalgovi,MN,45.7625,106.2708,14.77,90,69,11.48,broken clouds
208,Beringovskiy,RU,63.05,179.3167,-16.19,85,11,10.0,few clouds
209,Saint George,US,37.1041,-113.5841,44.6,81,20,4.61,few clouds
210,Swiecie,PL,53.4095,18.4474,30.99,77,84,1.01,broken clouds
211,Mehamn,NO,71.0357,27.8492,21.2,79,0,6.91,clear sky
212,Porbandar,IN,21.6422,69.6093,62.85,31,42,11.5,scattered clouds
213,Kattivakkam,IN,13.2167,80.3167,75.2,88,75,7.43,mist
214,Hervey Bay,AU,-25.2986,152.8535,77.0,81,13,4.0,few clouds
215,Reyes,BO,-14.3167,-67.3833,86.0,74,75,4.61,broken clouds
216,Harper,LR,4.375,-7.7169,78.13,85,98,5.06,overcast clouds
217,Isangel,VU,-19.55,169.2667,82.4,74,20,15.88,few clouds
218,Koumac,NC,-20.5667,164.2833,81.03,67,1,3.91,clear sky
219,Nanortalik,GL,60.1432,-45.2371,32.88,89,100,8.66,overcast clouds
220,Nishihara,JP,26.1842,127.7558,55.4,43,75,4.61,broken clouds
221,Gigmoto,PH,13.7796,124.39,74.71,82,100,21.41,overcast clouds
222,Lodja,CD,-3.4833,23.4333,71.4,82,97,0.96,overcast clouds
223,Basco,PH,20.4487,121.9702,68.77,71,100,25.37,overcast clouds
224,Mazagao,BR,-0.115,-51.2894,84.2,74,75,8.05,broken clouds
225,Klaksvik,FO,62.2266,-6.589,33.8,64,90,4.61,overcast clouds
226,Skibbereen,IE,51.55,-9.2667,44.6,100,75,18.41,moderate rain
227,Mount Gambier,AU,-37.8333,140.7667,57.2,94,75,10.36,broken clouds
228,Kushima,JP,31.4583,131.2333,33.8,68,0,2.3,volcanic ash
229,Moron,AR,-34.6534,-58.6198,86.0,48,12,1.99,few clouds
230,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,2.3,clear sky
231,Port Keats,AU,-14.25,129.55,80.1,87,99,11.88,light rain
232,Ayan,RU,56.45,138.1667,-8.37,85,100,0.87,overcast clouds
233,Vila Velha,BR,-20.3297,-40.2925,80.6,74,0,19.57,clear sky
234,Te Anau,NZ,-45.4167,167.7167,51.71,68,37,1.03,scattered clouds
235,Pavlovka,RU,52.6897,47.1405,20.12,98,85,6.85,overcast clouds
236,Luderitz,NA,-26.6481,15.1594,71.73,37,0,23.35,clear sky
237,Carutapera,BR,-1.195,-46.02,79.84,78,100,9.78,heavy intensity rain
238,Chernenko,RU,44.365,39.3103,34.9,88,88,4.79,overcast clouds
239,Ronneby,SE,56.21,15.276,23.0,93,75,5.75,broken clouds
240,Salmon Creek,US,45.7107,-122.649,46.4,71,90,3.44,overcast clouds
241,Udachnyy,RU,66.4167,112.4,-36.9,80,76,4.7,broken clouds
242,Whyalla,AU,-33.0333,137.5833,68.0,64,90,12.66,overcast clouds
243,Eyl,SO,7.9803,49.8164,71.26,80,0,11.52,clear sky
244,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,88.9,50,99,10.16,overcast clouds
245,Beitbridge,ZW,-22.2167,30.0,77.77,72,100,12.88,overcast clouds
